,id,mode,fluid,Pr_min,Pr_max,G_min,G_max,D_min,D_max,tube_type,mu_f_min,mu_f_max,mu_g_min,mu_g_max,K_f_min,K_f_max,K_g_min,K_g_max,Sur_ten_f_min,Sur_ten_f_max,Pr_f_min,Pr_f_max,Pr_g_min,Pr_g_max,rho_f_min,rho_f_max,rho_g_min,rho_g_max,deviation
40,10,1,R407C,0.08,0.69,100,650,2.1,14.8,2,227.6523145,64.66548227,11.26607477,19.5712284,99.29657288,60.10099691,12.02832064,36.56775697,11.01559352,0.443298332,3.200267592,3.882282608,0.896656894,2.370445915,1258.24772,786.899717,19.76607299,251.611526,0.092
41,10,1,CO2,0.08,0.69,100,650,2.1,14.8,2,240.7225261,75.24454,11.04379332,16.66470221,173.3452753,91.11965233,11.3906913,29.13812992,15.77698025,1.9506134,2.722955159,2.839825941,0.899710769,1.854027735,1167.443569,820.9816174,15.59084182,160.8798678,0.165
42,11,1,R22,0.203,0.203,100,400,7.14,7.14,2,166.4183219,166.4183219,12.45435675,12.45435675,83.98308781,83.98308781,11.23747168,11.23747168,8.272304953,8.272304953,2.480737645,2.480737645,0.9586169,0.9586169,1194.987726,1194.987726,42.89419968,42.89419968,0.08
43,11,1,R410A,0.203,0.203,100,400,7.14,7.14,2,138.2436974,138.2436974,12.88706327,12.88706327,96.08675101,96.08675101,13.77310472,13.77310472,7.005929743,7.005929743,2.297472679,2.297472679,1.183715964,1.183715964,1117.105444,1117.105444,45.53382202,45.53382202,0.08
44,12,1,R22,0.203,0.203,100,400,8.8,8.8,2,166.4183219,166.4183219,12.45435675,12.45435675,83.98308781,83.98308781,11.23747168,11.23747168,8.272304953,8.272304953,2.480737645,2.480737645,0.9586169,0.9586169,1194.987726,1194.987726,42.89419968,42.89419968,0.11
45,12,1,R410A,0.203,0.203,100,400,8.8,8.8,2,138.2436974,138.2436974,12.88706327,12.88706327,96.08675101,96.08675101,13.77310472,13.77310472,7.005929743,7.005929743,2.297472679,2.297472679,1.183715964,1.183715964,1117.105444,1117.105444,45.53382202,45.53382202,0.11
46,13,1,R134a,0.102,0.141,400,800,8.12,8.12,2,234.9850275,207.2713324,11.09741285,11.48977834,87.63516873,83.26834947,12.39839224,13.33819035,10.04689496,8.686609639,3.674168272,3.497302863,0.846066287,0.862175999,1261.097999,1225.198127,20.19901392,27.81189899,0.12
47,15,2,R22,0.239,0.389,200,400,6.23,6.41,2,155.4331535,123.0146163,12.77499521,14.05693714,81.1936418,71.91677461,11.80980979,14.22809534,7.405212503,4.720733959,2.451843245,2.426849443,0.98252798,1.098745294,1170.639001,1082.47329,50.73764526,85.87315995,0.08
48,15,2,R134a,0.293,0.367,120,500,6.51,8.37,2,149.4947796,132.6201345,12.68572042,13.22875717,72.15918293,68.28817543,16.18744777,17.47304775,5.382035453,4.315359242,3.183086061,3.123665258,0.941682647,0.991220926,1120.732976,1078.555786,59.24054558,76.0022848,0.08
49,15,2,R123,0.103,0.103,100,350,8.37,8.37,2,255.6190565,255.6190565,12.27888746,12.27888746,65.06933354,65.06933354,12.05872935,12.05872935,10.05377774,10.05377774,4.250699116,4.250699116,0.804768509,0.804768509,1341.188939,1341.188939,22.62898787,22.62898787,0.08
