Manufacturer,Model,Refrigerant,Operating Condition,Displacement Volume,Capacity,Power,COP,Source,Minimum Voltage,Maximum Voltage,Frequency,Test Condition,Speed Type,Speed,Comments
GMCC,HSM135V1UDZ,R22,-,13.3,7967,708,3.3,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM145V1UFZ,R22,-,14.6,8762,783,3.28,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM150V5UFZ,R22,-,15.1,9008,800,3.3,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM155V1UFZ,R22,-,15.3,9093,815,3.27,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM160V5UFZ,R22,-,15.8,9400,840,3.28,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM160V6UFZ,R22,-,15.8,9445,835,3.32,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM165V1UFZ,R22,-,16.4,9707,870,3.27,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM165V3UDZA,R22,-,16.4,9741,915,3.12,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM170V1UFZ,R22,-,16.9,9963,885,3.3,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM190V1UFT,R22,-,19.2,11396,1010,3.31,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM195V1UFT,R22,-,19.7,11601,1045,3.25,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM200V1UFT,R22,-,20.1,11874,1070,3.25,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM200V3UDZ,R22,-,20.1,11840,1145,3.03,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM205V1UFT,R22,-,20.5,11976,1090,3.22,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM210V1UFT,R22,-,20.9,12300,1110,3.25,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM215V3UFT,R22,-,21.4,12659,1195,3.1,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM215V3UDZA,R22,-,21.4,12617,1215,3.05,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM215V4UFTA,R22,-,21.4,12624,1140,3.25,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSM220V3UFT,R22,-,22.3,13239,1220,3.18,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH225M2A-4FT,R22,-,22.4,13358,1265,3.09,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH250M2C-4FT1,R22,-,25,14706,1370,3.15,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH270M2CS-4KU2,R22,-,27,16190,1490,3.18,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH280M2CS-4KU,R22,-,28.1,16804,1515,3.25,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH290M2A-4FT1,R22,-,28.8,17367,1650,3.08,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH310M2AS-4KTH,R22,-,31,18988,1750,3.18,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH420G2CS-4KU1,R22,-,42.3,25317,2390,3.1,AC,220,240,50,ASH,Fixed,2900,
GMCC,PH440G2CS-4MU,R22,-,43.5,26648,2390,3.27,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSF300V1VKU,R22,-,30,20672,1824,3.32,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSF320V1UKU,R22,-,31.9,19380,1710,3.32,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSG300V1UKU,R22,-,30.9,18254,1595,3.35,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSG340V1UKU,R22,-,34.1,20745,1790,3.4,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSG370V1UMU,R22,-,37,22690,1955,3.4,AC,220,240,50,ASH,Fixed,2900,
GMCC,HSQ440V1TMV,R22,-,43.6,26835,2460,3.2,AC,220,240,50,ASH,Fixed,2900,
GMCC,HTG340V1UMU,R22,-,34.1,20540,1870,3.22,AC,220,240,50,ASH,Fixed,2900,
GMCC,YH460X3CS-4MUC1,R22,-,45.9,27296,2580,3.1,AC,380,380,50,ASH,Fixed,2900,
GMCC,YH480X3CS-4MUC1,R22,-,47.9,28490,2690,3.1,AC,380,380,50,ASH,Fixed,2900,
GMCC,HTQ440Y1UMP,R22,-,43.8,26341,2410,3.2,AC,380,380,50,ASH,Fixed,2900,
GMCC,HTW715Y2UNY,R22,-,71.5,45721,4060,3.3,AC,380,380,50,ASH,Fixed,2900,
GMCC,HTW770Y2UNY,R22,-,77,49474,4300,3.37,AC,380,380,50,ASH,Fixed,2900,
GMCC,HTW835Y2UNY,R22,-,83.5,53330,4790,3.26,AC,380,380,50,ASH,Fixed,2900,
GMCC,HSM170V15VFZ,R22,-,16.9,11072,738,4.4,AC,220,220,50,GX,Fixed,2900,
GMCC,HSM170V15VDP,R22,-,16.9,11304,750,4.42,AC,220,220,50,GX,Fixed,2900,
GMCC,HSM215V1VFT,R22,-,21.4,14185,935,4.45,AC,220,220,50,GX,Fixed,2900,
GMCC,HSM220V1VFT,R22,-,22.3,14885,980,4.45,AC,220,220,50,GX,Fixed,2900,
GMCC,PH190M2A-4FTL1,R22,-,18.9,12829,845,4.45,AC,220,220,50,GX,Fixed,2900,
GMCC,PH200M2A-4FTL1,R22,-,19.9,13512,890,4.45,AC,220,220,50,GX,Fixed,2900,
GMCC,PH210M2A-4FTL1,R22,-,20.9,14279,935,4.48,AC,220,220,50,GX,Fixed,2900,
GMCC,HSF215V1VKT,R22,-,21.7,14877,947,4.6,AC,220,220,50,GX,Fixed,2900,
GMCC,HSG300V1VKU,R22,-,30,20608,1300,4.65,AC,220,220,50,GX,Fixed,2900,
GMCC,HSG310V1VKU,R22,-,30.9,21257,1340,4.65,AC,220,220,50,GX,Fixed,2900,
GMCC,PH290G2C-4KUL1,R22,-,28.7,19653,1280,4.5,AC,220,220,50,GX,Fixed,2900,
GMCC,PH300G2C-4KUL1,R22,-,29.7,20370,1320,4.52,AC,220,220,50,GX,Fixed,2900,
GMCC,PH310G2C-4KUL,R22,-,30.8,20933,1370,4.48,AC,220,220,50,GX,Fixed,2900,
GMCC,PH400G2CS-4MUL,R22,-,39.8,27620,1800,4.5,AC,220,220,50,GX,Fixed,2900,
